month,scale_name,reported_r,scale,month_number,known_months,unknown_months,known_fraction,escala
January,SPI-1,0.326,1,1,0,1,0.0,SPI-1
February,SPI-1,0.578,1,2,0,1,0.0,SPI-1
March,SPI-1,0.922,1,3,0,1,0.0,SPI-1
April,SPI-1,0.748,1,4,0,1,0.0,SPI-1
May,SPI-1,0.743,1,5,0,1,0.0,SPI-1
June,SPI-1,0.759,1,6,0,1,0.0,SPI-1
July,SPI-1,0.555,1,7,0,1,0.0,SPI-1
August,SPI-1,0.621,1,8,0,1,0.0,SPI-1
September,SPI-1,0.457,1,9,0,1,0.0,SPI-1
October,SPI-1,0.385,1,10,0,1,0.0,SPI-1
November,SPI-1,0.544,1,11,0,1,0.0,SPI-1
December,SPI-1,0.761,1,12,0,1,0.0,SPI-1
January,SPI-3,0.938,3,1,2,1,0.6666666666666666,SPI-3
February,SPI-3,0.62,3,2,1,2,0.3333333333333333,SPI-3
March,SPI-3,0.607,3,3,0,3,0.0,SPI-3
April,SPI-3,0.754,3,4,0,3,0.0,SPI-3
May,SPI-3,0.92,3,5,0,3,0.0,SPI-3
June,SPI-3,0.594,3,6,0,3,0.0,SPI-3
July,SPI-3,0.808,3,7,0,3,0.0,SPI-3
August,SPI-3,0.729,3,8,0,3,0.0,SPI-3
September,SPI-3,0.64,3,9,0,3,0.0,SPI-3
October,SPI-3,0.783,3,10,0,3,0.0,SPI-3
November,SPI-3,0.886,3,11,0,3,0.0,SPI-3
December,SPI-3,0.825,3,12,0,3,0.0,SPI-3
January,SPI-6,0.929,6,1,5,1,0.8333333333333334,SPI-6
February,SPI-6,0.956,6,2,4,2,0.6666666666666666,SPI-6
March,SPI-6,0.978,6,3,3,3,0.5,SPI-6
April,SPI-6,0.967,6,4,2,4,0.3333333333333333,SPI-6
May,SPI-6,0.934,6,5,1,5,0.16666666666666666,SPI-6
June,SPI-6,0.867,6,6,0,6,0.0,SPI-6
July,SPI-6,0.899,6,7,0,6,0.0,SPI-6
August,SPI-6,0.911,6,8,0,6,0.0,SPI-6
September,SPI-6,0.868,6,9,0,6,0.0,SPI-6
October,SPI-6,0.891,6,10,0,6,0.0,SPI-6
November,SPI-6,0.904,6,11,0,6,0.0,SPI-6
December,SPI-6,0.901,6,12,0,6,0.0,SPI-6
January,SPI-9,0.448,9,1,8,1,0.8888888888888888,SPI-9
February,SPI-9,0.028,9,2,7,2,0.7777777777777778,SPI-9
March,SPI-9,0.784,9,3,6,3,0.6666666666666666,SPI-9
April,SPI-9,0.744,9,4,5,4,0.5555555555555556,SPI-9
May,SPI-9,0.823,9,5,4,5,0.4444444444444444,SPI-9
June,SPI-9,0.459,9,6,3,6,0.3333333333333333,SPI-9
July,SPI-9,0.542,9,7,2,7,0.2222222222222222,SPI-9
August,SPI-9,-0.014,9,8,1,8,0.1111111111111111,SPI-9
September,SPI-9,0.527,9,9,0,9,0.0,SPI-9
October,SPI-9,0.734,9,10,0,9,0.0,SPI-9
November,SPI-9,0.822,9,11,0,9,0.0,SPI-9
December,SPI-9,0.581,9,12,0,9,0.0,SPI-9
January,SPI-12,0.932,12,1,11,1,0.9166666666666666,SPI-12
February,SPI-12,0.891,12,2,10,2,0.8333333333333334,SPI-12
March,SPI-12,0.94,12,3,9,3,0.75,SPI-12
