scale,model,protocol,month,horizon_months,r,r2,kappa,mae,rmse,selected_by_validation,validation_rmse
1,persistence_last,causal,1,1,0.30625855929344475,-1.4186325397395216,-0.008983372391474065,0.5734811485657029,0.7206004171204351,,
1,persistence_last,causal,2,2,0.010763916540371446,-110.21082292303115,0.0,2.735104512668524,2.7888315688552403,,
1,persistence_last,causal,3,3,0.2639975089765276,-20.33471460407398,-0.005067389238835984,2.456804669965896,2.53532872594075,,
1,persistence_last,causal,4,4,-0.2811083662059247,-9.969586189831842,-0.0018434845472619088,1.83568301450871,2.0337994597191162,,
1,persistence_last,causal,5,5,0.6032145667165715,-36.34756632540601,0.0,2.9556631817259165,2.986951750932779,,
1,persistence_last,causal,6,6,0.3577281726847981,-9.538821764740096,-0.01694186754539917,2.234169091695603,2.344132430484948,,
1,persistence_last,causal,7,7,-0.17242187106089799,-8.900589479485305,0.023476396409492284,1.7915299817223616,1.9180069092595093,,
1,persistence_last,causal,8,8,-0.3060467280004783,-3.723100870433033,0.012843074849290592,1.4675780170177064,1.7041992271259818,,
1,persistence_last,causal,9,9,0.5138830022960073,-40.68953787182166,-0.00280889013728447,2.5347078137509564,2.572324033997914,,
1,persistence_last,causal,10,10,0.16851525693407912,-6.656912066962475,-0.011324470704086709,1.2748458398110871,1.4236606173822768,,
1,persistence_last,causal,11,11,0.43860406459552453,-4.509355035582153,-0.05819277579931903,1.084924349809075,1.2061117124976604,,
1,persistence_last,causal,12,12,0.23381211490135534,-1.1213335536717826,-0.0321074138937536,0.6686121287430816,0.7548671659127318,,
1,seasonal_persistence,causal,1,1,0.40772725090002787,-2.4952174746252926,0.1898647491867832,0.678849647913354,0.8662568162607558,,
1,seasonal_persistence,causal,2,2,-0.34267926377559627,-101.43553059571708,0.0,2.6152058402752725,2.676542041251825,,
1,seasonal_persistence,causal,3,3,-0.2547702440409799,-10.674499705998286,0.014450761048963812,1.7276687134378959,1.875469464565245,,
1,seasonal_persistence,causal,4,4,-0.6339493721240814,-3.6706753160414376,0.055032371983519734,1.1163154884178232,1.3270975405210061,,
1,seasonal_persistence,causal,5,5,-0.3887244500053881,-13.645889855367999,0.030604692472800066,1.6961890314155568,1.8704880399465051,,
1,seasonal_persistence,causal,6,6,-0.010337425518639668,-1.3621760776045173,-0.03363914373088672,0.9713744569057196,1.1097936790695841,,
1,seasonal_persistence,causal,7,7,0.1349210270714522,-17.032608081354727,-0.012343438010528285,2.4202340203389023,2.5885044304354348,,
1,seasonal_persistence,causal,8,8,0.5093611819922272,0.0671277247229568,0.16198347107438005,0.4941425363479221,0.7573870003056512,,
1,seasonal_persistence,causal,9,9,-0.41170884832279914,-13.30516277623997,0.011510629522702653,1.3716400089020844,1.5068101499201216,,
1,seasonal_persistence,causal,10,10,-0.3276697475976482,-0.9643715768822181,0.007423117709438043,0.5589964345593231,0.7210933032542419,,
1,seasonal_persistence,causal,11,11,0.547286280676681,-7.569454351773938,-0.04302851182197487,1.3630936669877936,1.5042282465322743,,
1,seasonal_persistence,causal,12,12,0.23381211490135534,-1.1213335536717826,-0.0321074138937536,0.6686121287430816,0.7548671659127318,,
1,ridge,causal,1,1,-0.056860321719139184,-36.159884539751225,0.0,2.7826439504820115,2.8245335741761672,False,1.4829746346432182
1,ridge,causal,2,2,-0.2081428704852813,-25.65855092677782,0.002038664323374295,1.3287267691898672,1.3654224153348358,False,1.4829746346432182
1,ridge,causal,3,3,-0.4600375185086648,-2.184793714714563,-0.002608659065090446,0.7872684073446085,0.9795610589554217,False,1.4829746346432182
1,ridge,causal,4,4,0.4934187727318414,0.11415024798550255,0.19477174682892284,0.4361206703451421,0.5779536877557638,False,1.4829746346432182
1,ridge,causal,5,5,-0.09345685439647197,-3.709538212355019,0.0,0.9337505846858064,1.0606844849439292,False,1.4829746346432182
1,ridge,causal,6,6,0.2563314758503119,-0.38597126185633535,0.036266319843929584,0.7604836744357563,0.8500867089489343,False,1.4829746346432182
1,ridge,causal,7,7,0.33872725041875823,0.07543166511264732,0.11458893068242881,0.3483361134998375,0.5861235190327542,False,1.4829746346432182
1,ridge,causal,8,8,0.31531484874199633,-0.11239018328916384,0.03985665588672316,0.5871119034047121,0.8270567822340883,False,1.4829746346432182
1,ridge,causal,9,9,-0.3438483739177409,-3.5761586319747245,0.045369869599182766,0.7523352877124834,0.8522414842966092,False,1.4829746346432182
1,ridge,causal,10,10,0.14996149384281848,-2.091735314126886,-0.010765550239234534,0.7509506898949706,0.9046504317776971,False,1.4829746346432182
1,ridge,causal,11,11,-0.25962437078533224,-1.4818048806215387,-0.011516023941207543,0.7121808964292973,0.8095076773306109,False,1.4829746346432182
1,ridge,causal,12,12,0.678361476678542,-16.854973800694854,-2.220446049250313e-16,2.147755626301752,2.1900078090882125,False,1.4829746346432182
1,mlp_11,causal,1,1,0.05919443263251864,-34.40720723008941,0.0,2.7134595732027593,2.757118293739548,True,1.4604972326876233
1,mlp_11,causal,2,2,-0.11917738405555238,-20.708039405329583,0.0043205027494107595,1.1910121438917083,1.232137170431872,True,1.4604972326876233
1,mlp_11,causal,3,3,-0.07103024127391935,-3.2346432339324336,0.021156785455715643,0.966441603301301,1.1295339057755536,True,1.4604972326876233
1,mlp_11,causal,4,4,0.527386544021899,0.16322895519605152,0.11723737666860135,0.44898572683023513,0.5617153953362953,True,1.4604972326876233
1,mlp_11,causal,5,5,0.07450410310938588,-4.079452934083225,-0.008163265306122547,0.9854257746997674,1.1015533207566675,True,1.4604972326876233
1,mlp_11,causal,6,6,0.19166501981297293,-0.09075853369089515,-0.04127467868027024,0.6558336052729123,0.754137302450026,True,1.4604972326876233
1,mlp_11,causal,7,7,0.07636139367746941,-1.6260487392615377,0.005512884043607613,0.7757838210602421,0.9878045718137899,True,1.4604972326876233
1,mlp_11,causal,8,8,-0.04464822480705473,-0.9316717042085825,-0.03872157344806393,0.8437606756680979,1.089866773816144,True,1.4604972326876233
1,mlp_11,causal,9,9,-0.03390526847575976,-4.887297739445133,0.00045848425106598256,0.8616184546722818,0.9666519580926756,True,1.4604972326876233
1,mlp_11,causal,10,10,-0.521983426188217,-0.9136752811317006,0.01484652518444296,0.5693381155414857,0.7117275303485493,True,1.4604972326876233
1,mlp_11,causal,11,11,-0.30305012653830143,-0.8667611013807768,0.005882352941176339,0.5880345291819862,0.7020717951301717,True,1.4604972326876233
1,mlp_11,causal,12,12,0.15528513841408295,-11.935176076463524,-0.0018591272625227973,1.7913011119075581,1.8640271222801732,True,1.4604972326876233
1,extra_trees,causal,1,1,0.06912042912986832,-32.73251341201219,0.0,2.648726559708094,2.691125269724016,False,1.510305787652567
1,extra_trees,causal,2,2,-0.04856097939016745,-22.70207308442187,0.0,1.2553552050738614,1.287484250608472,False,1.510305787652567
1,extra_trees,causal,3,3,-0.041803677357085935,-1.451419704313433,-0.1337704918032787,0.6997518281832723,0.8594085986082136,False,1.510305787652567
1,extra_trees,causal,4,4,-0.032626577617883144,-0.059615768565270066,-0.01113869263573286,0.4764469692439078,0.632102068484273,False,1.510305787652567
1,extra_trees,causal,5,5,0.5285058347552479,-4.947756612608251,-0.09642235908043806,1.110404347322981,1.1919928436189327,False,1.510305787652567
1,extra_trees,causal,6,6,-0.053333522845721314,-0.05117185204157271,0.0,0.6031277143750746,0.7403259539562485,False,1.510305787652567
1,extra_trees,causal,7,7,-0.0444692073469589,-0.15188355648003338,-0.01873217526575055,0.3914610745138725,0.6542201706987516,False,1.510305787652567
1,extra_trees,causal,8,8,0.2273982385041916,-0.30722016785722506,0.10148865784499062,0.6432496476860924,0.89656364255289,False,1.510305787652567
1,extra_trees,causal,9,9,-0.18003920099677087,-4.507609711778004,-0.018115480887531454,0.8497973647880592,0.9349614692949434,False,1.510305787652567
1,extra_trees,causal,10,10,-0.17125119408205858,-1.2953451128186328,-0.17699836867862961,0.6041088838503185,0.779477597204382,False,1.510305787652567
1,extra_trees,causal,11,11,-0.22624847181092192,-2.361295016745132,-0.015160183066361466,0.8280340258834022,0.942085827891252,False,1.510305787652567
1,extra_trees,causal,12,12,0.21659017793395124,-11.793444913153204,0.0,1.7833471322354504,1.8537868901521608,False,1.510305787652567
3,persistence_last,causal,1,1,0.9257604651268445,-2.0856634575150794,-0.12111702550250247,1.2796128402533782,1.3146290583989602,,
3,persistence_last,causal,2,2,0.712771333655174,-1.6894418363545545,-0.0028520171121024784,0.5930951353211019,0.6768047760561774,,
3,persistence_last,causal,3,3,0.5526836532827711,-6.000945586284915,-0.10217391304347823,0.814270840492413,0.9348863518915188,,
3,persistence_last,causal,4,4,0.2818133044441162,-26.596324056322445,-0.004422117663706704,2.0003425177667045,2.0915804665206177,,
3,persistence_last,causal,5,5,0.44784469305412944,-13.102790661811593,-0.003948491747296501,1.8890792730018244,1.9786975144730972,,
3,persistence_last,causal,6,6,0.41877722983936216,-13.654123378110933,-0.03146116399040899,1.7096335857633993,1.8054351052419033,,
3,persistence_last,causal,7,7,0.6207957616046528,-10.326857093582062,-0.011392313793352038,2.001770038351682,2.0694087671325527,,
3,persistence_last,causal,8,8,0.03470003344559549,-1.0420170766178565,-0.0167492900803774,0.9244702324425192,1.1086224084388416,,
3,persistence_last,causal,9,9,0.1943052884722361,-12.843299795364493,-0.02027863777089789,1.3787449982309696,1.5118399706321435,,
3,persistence_last,causal,10,10,0.24293557483194578,-2.549954899941775,-0.05877088305489253,0.897401785595662,1.0607170081479587,,
3,persistence_last,causal,11,11,0.3962619545723653,-0.6849544703255761,0.10469446629950185,0.6422893279009336,0.8092471000485226,,
3,persistence_last,causal,12,12,0.3408931190638316,-1.4671211761662928,0.09234102089633056,0.6833559498884416,0.873496397247814,,
3,seasonal_persistence,causal,1,1,-0.2878411152897835,-2.0981428214300215,-0.06481481481481488,1.0067338446882095,1.317284756382269,,
3,seasonal_persistence,causal,2,2,0.043107465062051334,-5.933343133619783,-0.13851974898486508,0.878804192102179,1.0866850282429137,,
3,seasonal_persistence,causal,3,3,-0.17819519537898565,-103.93501272835938,-0.00021012081947113792,3.5287807413764565,3.619434138796479,,
3,seasonal_persistence,causal,4,4,0.21524107749630214,-42.86313507588858,0.0,2.587842892634883,2.6369311698110893,,
3,seasonal_persistence,causal,5,5,0.28560713217776845,-10.296239995635839,-0.02609324177809902,1.6743190067058906,1.7708991678566368,,
3,seasonal_persistence,causal,6,6,0.0881572063175829,-1.5777086258879964,-0.03171864631718657,0.6426567445441069,0.7572144155332791,,
3,seasonal_persistence,causal,7,7,0.36916371213316385,-0.6926286962742025,0.23260301963900554,0.5695647008117979,0.799967648044405,,
3,seasonal_persistence,causal,8,8,0.35233973950683983,-3.2070673101573774,0.0073626737260094055,1.3723607712461414,1.591269351321677,,
3,seasonal_persistence,causal,9,9,0.4015632079014705,-0.3546698827354282,0.4714863870493009,0.37749627867714924,0.47293640838795803,,
3,seasonal_persistence,causal,10,10,-0.6408995814560396,-3.924604434355018,0.06570450097847369,1.0725961559852673,1.2493202824835292,,
3,seasonal_persistence,causal,11,11,0.2648921795037347,-0.5386578402073541,-0.048844960349385236,0.6584000109126448,0.7733179549145403,,
3,seasonal_persistence,causal,12,12,0.3408931190638316,-1.4671211761662928,0.09234102089633056,0.6833559498884416,0.873496397247814,,
3,ridge,causal,1,1,0.8694162750425886,-9.916570195267163,0.0,2.4410028067928105,2.4727035641239197,False,1.6100377210669188
3,ridge,causal,2,2,0.46384292507344976,-10.968090713758935,0.0008337754870005876,1.3800972636093278,1.4277256853937785,False,1.6100377210669188
3,ridge,causal,3,3,-0.5327093160973517,-3.0637759630498076,-0.032246474445342566,0.5998028151464087,0.712271138951659,False,1.6100377210669188
3,ridge,causal,4,4,-0.5041836472983564,-10.377483700938962,0.013459750883063837,1.241100863436876,1.3429878085152567,False,1.6100377210669188
3,ridge,causal,5,5,-0.5712586932097828,-3.183512398570464,0.12870413376683698,0.8936726528715926,1.0776988235087317,False,1.6100377210669188
3,ridge,causal,6,6,0.05077533542476356,-4.579966357566935,-0.007622641509433814,1.007402908369634,1.114083522874715,False,1.6100377210669188
