scale,early_stopping,r_train,r_all_points,r_internal_test,abs_error_vs_all,abs_error_vs_test,closer_to_all
1,False,0.8674890410730152,0.6889505009913915,0.2744123196661355,0.1362281122670989,0.3936143299845896,True
1,True,0.7698003040509072,0.6263439194471733,0.36246758668425333,0.17639173831187552,0.29414269462402615,True
3,False,0.9085191168091508,0.8256634953345142,0.5388700449189741,0.10156219826384187,0.25820205518975814,True
3,True,0.8477355857686139,0.7983042895248751,0.6206829102316807,0.10900147813340143,0.16942059715070465,True
6,False,0.959263610467607,0.896961528586321,0.6010070593156124,0.05156862290176736,0.3341496037766194,True
6,True,0.8930482960243653,0.825985395750766,0.7417798108179041,0.09109793758256735,0.18921924521238132,True
9,False,0.9783500616316955,0.9293077628382731,0.7873638779221458,0.38947442950493977,0.2714288626051617,False
9,True,0.9559314692073094,0.9030189989296505,0.7989328114730433,0.36318566559631726,0.2741406354347699,False
12,False,0.9859460949249718,0.9247435421288855,0.7027312883683893,0.0514436353190138,0.21701020340763696,True
12,True,0.9722792933424566,0.9101486186770783,0.8016750990626994,0.03641476529075702,0.11342443789522859,True
18,False,0.9806644481948351,0.9237687251798293,0.670960195450926,0.04948562844006857,0.23280428460507177,True
18,True,0.9646320435251986,0.9104971626281242,0.7250970044164137,0.04294176481786779,0.1792141626952851,True
24,False,0.9936874855073102,0.9746188961986321,0.865215708184738,0.04034035080140411,0.08056608589754961,True
24,True,0.9832897042870915,0.9530029328904552,0.7572120544094668,0.0306418748058216,0.18437127892386648,True
48,False,0.9973178496244661,0.9862636092378628,0.8644233432688683,0.041346942571196164,0.10404688675368741,True
48,True,0.9843286188822152,0.9752092650746723,0.9116988640882467,0.034453024205449025,0.05171412932988361,True
