scale,input_years,r_all_points,kappa_all_points,r_internal_test
1,1,0.062454706947678136,0.04202317239835793,0.08819960818424542
1,2,0.1645675099951057,0.035694031583572906,0.2113410922932344
1,3,0.31249607324712225,0.16862963933008404,0.14991393839734654
1,4,0.3015828467700647,0.19691314704431315,0.18819240419756508
1,5,0.39628931304463727,0.2518687282162545,0.18264162796392902
1,6,0.35510156454639114,0.19985407981564096,0.29994925414423373
1,7,0.41957602591707294,0.24636586622805604,0.23876473454982583
1,8,0.5339104074796114,0.304687450157432,0.28461053639786665
1,9,0.5696957633325986,0.339900218405532,0.3396293417186811
1,10,0.6031017820953768,0.39127632308708876,0.3135268673365131
1,11,0.5314485196238312,0.3500643008602704,0.09918276039085346
1,12,0.7110033327003173,0.45695684268682296,0.2208269295844796
1,13,0.6386502331638878,0.4390180122748675,0.18416106137084698
1,14,0.6764086303898766,0.467788939489953,0.20149491721860402
1,15,0.6887052096591156,0.45923575512737497,0.29575784020677726
1,16,0.6758478121635151,0.4520757262450932,0.19272166641472901
1,17,0.861591190750682,0.6313542176323899,0.6207919554773864
3,1,0.061862299775359585,0.11057518505268053,0.042442845299592406
3,2,0.09262593777989177,0.0700243377094752,0.0412779441803899
3,3,0.16687622974094854,0.10611790653153057,-0.021603521224845195
3,4,0.22919806360140016,0.1601356631684744,0.06397690595009405
3,5,0.2802689867881434,0.22843474395111493,0.07181741738815972
3,6,0.3802486891012053,0.258595275002737,0.11697787636171737
3,7,0.35649129925389783,0.22452771800160196,0.09383843565106714
3,8,0.3555456223427878,0.2812390035553631,0.08853610904963338
3,9,0.4438050443954044,0.3310246994013188,0.1253476921157385
3,10,0.5044800052215466,0.3498079100763089,0.09837957260456183
3,11,0.5788734147864671,0.40724692862868567,0.11000743638207348
3,12,0.6136722149861705,0.4286487067972657,0.3255950432128031
3,13,0.6685110088813703,0.42429197214812264,0.23928317626358997
3,14,0.6776855215297776,0.5106005327937617,0.23916032373537457
3,15,0.8379365737885949,0.5956584361396363,0.43849744103916244
3,16,0.9050815634257416,0.664003538662675,0.7111585895762982
3,17,0.9791956922432296,0.8687920853350218,0.9338015895594994
6,1,0.018731850202203318,0.023630841560370108,-0.15728398670882462
6,2,0.31593892725344486,0.12573132429516068,0.09595888302579819
6,3,0.31608915654014413,0.2111136037204886,0.10419925863219887
6,4,0.36665416295083725,0.21799713534395382,0.17928616921035775
6,5,0.45825874041100767,0.31150918127929117,0.1511612701987552
6,6,0.5349677199352687,0.3067946473535219,0.37194461508153925
6,7,0.48267847243025314,0.2840457759575343,0.20610682541065825
6,8,0.5806258704949311,0.33292379760707985,0.33326983996301546
6,9,0.629137037403878,0.37960067308659284,0.4599623222976126
6,10,0.7622337804741345,0.4685053210081256,0.5299796245359963
6,11,0.7660985260562744,0.4498271876206336,0.6042761817141972
6,12,0.760296261302062,0.5387465470988243,0.290635572824809
6,13,0.8421252724807884,0.611756974918719,0.42849423776056844
6,14,0.8060114772076682,0.5869116999593803,0.30472645306218554
6,15,0.9161783676320878,0.6867414682316282,0.6980452544983239
6,16,0.9394598839239054,0.7327071081084048,0.8343122824236376
6,17,0.9988246565029736,0.9569670676900501,0.995036485383133
9,1,0.08332910819201549,0.04441903679610892,-0.28120645989461196
9,2,0.3581139556302804,0.098027438191508,0.3606388955623034
9,3,0.5178624550982657,0.2132128888153464,0.49761146893384184
9,4,0.5332899795236309,0.3099710985912116,0.37316042903710933
9,5,0.6056919645872467,0.33650626023227986,0.4829000157896181
9,6,0.631451376305736,0.35191008633608395,0.528948131325344
9,7,0.6655663489928753,0.3679339323352762,0.6469847286175462
9,8,0.6819674128052401,0.43420514698355683,0.6470177321565289
9,9,0.6954825173358669,0.424866012333277,0.4843956808273438
9,10,0.7743968543935815,0.5243463612097741,0.6599764623425632
9,11,0.7538168287112739,0.5286963096621612,0.5442966101428475
9,12,0.8032670038444283,0.5673065604643232,0.5141352298937986
9,13,0.8289829908235804,0.6183980913837941,0.33079485265917746
9,14,0.835696196435975,0.5968853148275142,0.6131421526995088
9,15,0.9190350867957333,0.7137459807619354,0.7573304896006327
9,16,0.9711198433121244,0.8496230179212333,0.9046630328274686
9,17,0.9992275152978521,0.9761817598958445,0.9984521973039606
12,1,0.18206499928552644,0.003555883789080209,0.24895190546889367
12,2,0.3719985516344598,0.08312060348423175,0.4180766805278657
12,3,0.56095933507524,0.26816415353387835,0.43624437583249676
12,4,0.577661168731404,0.3347226217543124,0.18608278737247272
12,5,0.6388810029407995,0.40247059560686343,0.2710736001815892
12,6,0.7395912828739023,0.4747444327220495,0.5887518766092251
12,7,0.7350106808376702,0.44654052968182806,0.47387528595460854
12,8,0.7739925666865347,0.5357887443781126,0.44106311124689396
12,9,0.8206150554314879,0.6287295130214333,0.4171561596690387
12,10,0.7570872584243268,0.5569811715958987,0.36748243134094544
12,11,0.798162857139325,0.5973287930816783,0.5332172582335285
12,12,0.8745574606371918,0.7221859063264162,0.6165472487730147
12,13,0.8528608267916056,0.6536667720652112,0.4889874266945362
12,14,0.882290654364574,0.7176970609223803,0.5853587343970373
12,15,0.9403039516422691,0.7995185765498972,0.8307120467023826
12,16,0.9764443587742058,0.8614751829048068,0.9259601624157461
12,17,0.9991525441716212,0.9727243542260483,0.9980651439869398
18,1,0.23384159953999317,0.011138510821650658,0.009025526340457071
18,2,0.3482650967609659,0.14616132149760935,-0.14634818099659674
18,3,0.40965648640455027,0.21279313136963587,-0.027805808201182062
18,4,0.44447051061443027,0.3114110091562343,0.09047797917752531
18,5,0.6611381749398527,0.33447188333074407,0.4001072014906198
18,6,0.7018400219399759,0.3345752820301615,0.34259852785057415
18,7,0.7198614946937646,0.4299266659573187,0.30953756190585585
18,8,0.7118448431913258,0.4313903547453399,0.34723144404579526
18,9,0.7291003397572045,0.31816923137283065,0.592116531552009
18,10,0.7141673975482284,0.5347576159785781,0.21567721797018416
18,11,0.7602809124778359,0.4246876428738101,0.3983665570090456
18,12,0.7970457500996196,0.5875157096050293,0.2584427837700737
18,13,0.8476020755196516,0.588486302720306,0.4103578294310508
18,14,0.876555112383847,0.641946055203246,0.3841772410510564
18,15,0.9271227546265245,0.6808827158208085,0.7150804846708562
18,16,0.9847269896596024,0.772470992491557,0.954213177365978
18,17,0.9956519410745996,0.9475433904594706,0.9827271412426581
24,1,0.5986292026883313,0.0679508125871385,0.27287119365263196
24,2,0.7165209001408229,0.06009656201403774,0.41970618718880237
24,3,0.7347562768437301,0.1235108411048167,0.44750179147356084
24,4,0.7942959859081377,0.08384027745376928,0.4675369271045249
24,5,0.8306494467069404,0.08829911374873475,0.6982442639901311
24,6,0.8171385016780905,0.25826220005425554,0.5850742059263182
