split,n,r,r2,kappa,mae,rmse,scale,input_years,protocol
train,1419,0.9742473827264304,0.9491579595660039,0.7111982661884749,0.15282826813556957,0.2097403850879523,1,15,paper_like
validation,304,-0.0952434877135056,-2.7696498791264825,0.053380782918149405,1.0303604268766888,1.272205602140725,1,15,paper_like
test,305,0.03140528287522496,-19.166964399880975,0.0015799224815011836,1.6301766425549205,1.7308535041599784,1,15,paper_like
all,2028,0.6364331351809279,0.15980738332207822,0.4639221660549824,0.5065565869004622,0.8508566434206232,1,15,paper_like
train,1419,0.9848957559213939,0.9700196444488036,0.7897393159033786,0.11870948746515034,0.15539036266702314,3,15,paper_like
validation,304,0.1269083344363891,-0.8372110346777473,0.08390853745444182,0.5188930832870206,0.6865222634448586,3,15,paper_like
test,305,0.36165838222938396,-3.398437511444941,-0.06303918885832371,0.9870020309646039,1.1243527773518158,3,15,paper_like
all,2028,0.8414882111101569,0.6637631978413834,0.5782530363143751,0.30928396423890864,0.5269437113781493,3,15,paper_like
train,1419,0.9920459473975233,0.9841551540741247,0.8696432469138797,0.0783214854943384,0.10088158830632786,6,15,paper_like
validation,304,0.3129474695601893,-0.37945950323576216,0.029897808000607817,0.610395474508123,0.7642248361210635,6,15,paper_like
test,305,0.18295943649871987,-11.76646047256389,-0.011232153731645989,1.7865115403335505,1.8912492065189994,6,15,paper_like
all,2028,0.6100083172586502,0.11528346613205387,0.5934049156760821,0.414982461523012,0.7953639467515199,6,15,paper_like
train,1419,0.9868033458114145,0.9737807970881596,0.8874532555769085,0.059495982214291865,0.07647220643234398,9,15,paper_like
validation,304,0.6709707648460788,-0.9562989100573198,0.10931008848009549,0.6577003925282106,0.8086663707602642,9,15,paper_like
test,305,-0.040560119400803216,-6.169394117658103,0.0018247101065396176,1.684626648972296,1.878360068068996,9,15,paper_like
all,2028,0.6100360724943052,-0.4518817693147841,0.5711132323111802,0.39357832644339574,0.7954532439971131,9,15,paper_like
train,1419,0.9917173843019811,0.983503255452948,0.9226393224629694,0.04314382131453412,0.055381676109278855,12,15,paper_like
validation,304,0.8770787944786547,0.7072046214448848,0.6440659925492283,0.21661490208592302,0.2920148192556153,12,15,paper_like
test,305,0.6276761798998762,-3.910828360778117,-0.1117359313811841,1.132664676768381,1.2152214233512393,12,15,paper_like
all,2028,0.605843970375733,0.024800563089607652,0.6318283317902075,0.23300529541114434,0.4868527374700171,12,15,paper_like
train,1419,0.9882629886022399,0.9766636562475172,0.9408950534640033,0.034842525725771636,0.04557506766022813,18,15,paper_like
validation,304,0.8537717386242485,0.7258014423444282,0.49087018213114375,0.196427415638178,0.2569118303631538,18,15,paper_like
test,305,0.6590160839368682,0.05201935506121247,0.10355256432100868,0.4763383547135251,0.5782076305574679,18,15,paper_like
all,2028,0.8035190424423061,0.6261030842218271,0.5925318312082629,0.1254628582576436,0.248249638760317,18,15,paper_like
train,1419,0.9966958082656996,0.9934019404639624,0.7276326207442597,0.011726984087639085,0.014821505711183187,24,15,paper_like
validation,304,0.8846462182246373,0.6180004308920685,0.6988906497622821,0.09920877038712943,0.14481098743775184,24,15,paper_like
test,305,0.49428047816284315,-2.0147461224070877,-0.004325380214873942,0.6241559232845504,0.7209900499567232,24,15,paper_like
all,2028,0.5437303744536498,0.17595519699585982,0.27572917308996725,0.11694655484212774,0.2854404172780397,24,15,paper_like
train,1419,0.9978439025412358,0.9956923221450746,0.9601694645660745,0.004589752664070244,0.005934704021409079,48,15,paper_like
validation,304,0.9561626980209064,0.8925203476700136,0.7782963827304551,0.024036887330496155,0.03212679057844589,48,15,paper_like
test,305,0.8395185492978688,0.24308394545819656,0.7213378000498353,0.1227959304582664,0.16645077686546592,48,15,paper_like
all,2028,0.9243495730657251,0.7955567998558544,0.9060529602290611,0.02528246132571882,0.0659254912191372,48,15,paper_like
