target_time,month,r,r2,kappa,mae,rmse,scale,input_years,ordering
2015-01-01,1,0.4864067952381175,0.06949317421371703,0.2116066430304162,0.18451960602930984,0.25424122689727124,1,15,point_major
2015-02-01,2,0.7163297099588013,0.4746666559572186,0.5562120466108649,0.12527638746216235,0.15984069230289785,1,15,point_major
2015-03-01,3,0.9139688560598356,0.8262946105367914,0.6749568908343282,0.1542366591951667,0.20874495943422156,1,15,point_major
2015-04-01,4,0.8899753732243026,0.7417765550014557,0.4170867604139028,0.23518944555451796,0.30147009266657887,1,15,point_major
2015-05-01,5,0.7422097380287539,0.5032531122391162,0.4961351590106008,0.1896856082009894,0.2793832612923387,1,15,point_major
2015-06-01,6,0.7365102697266621,0.5287779525346731,0.483969465648855,0.3182800031147083,0.4476893585189881,1,15,point_major
2015-07-01,7,0.43717776926387214,0.06759149431876843,0.3546483371519822,0.2596889918057049,0.3874513748906952,1,15,point_major
2015-08-01,8,0.5346691224321523,0.20718917541335868,0.4565456545654565,0.33342447484530247,0.4825148285119861,1,15,point_major
2015-09-01,9,0.693392689210106,0.42480922885314754,0.43530197978447926,0.19040753450511474,0.28395470459566635,1,15,point_major
2015-10-01,10,0.6706174412223335,0.3265770517861166,0.47126626049728315,0.2656339804993733,0.4007222620747295,1,15,point_major
2015-11-01,11,0.7806235742795806,0.5145598063586987,0.5694401292487417,0.21411861205565516,0.3228469170714379,1,15,point_major
2015-12-01,12,0.6417225105382345,0.273071269424353,0.4297515853161906,0.22070389394298545,0.34194725528620634,1,15,point_major
2015-01-01,1,0.9015476886133449,0.8076257690129345,0.6970783294497223,0.1290422063013401,0.18670107755204587,3,15,point_major
2015-02-01,2,0.8280258811156703,0.6391793810330574,0.6339661103325265,0.13758039858958018,0.19047983528355789,3,15,point_major
2015-03-01,3,0.5513662388935664,-0.05973745892742932,0.4782877135213006,0.1704604056009212,0.2669887578971375,3,15,point_major
2015-04-01,4,0.8353172921079248,0.6763718377440578,0.6535332180152476,0.1370598911772095,0.19142969478515517,3,15,point_major
2015-05-01,5,0.8843416484861799,0.7495084870708164,0.7084717607973422,0.1819012027344123,0.23241351821614123,3,15,point_major
2015-06-01,6,0.783575871926202,0.6007792548125305,0.47843856868796397,0.19124712109708186,0.2763352881210886,3,15,point_major
2015-07-01,7,0.8290865812439223,0.6512690582782201,0.5245495344631255,0.22466474201950548,0.30703012945853786,3,15,point_major
2015-08-01,8,0.7574689028174565,0.5467341048025409,0.5311403012116409,0.3230727309690249,0.462083077208137,3,15,point_major
2015-09-01,9,0.9143405622724713,0.8175165178035355,0.6652802535155476,0.12322488812205859,0.16690371915095129,3,15,point_major
2015-10-01,10,0.881994669992918,0.7009933920255423,0.533658473978053,0.20707288304797375,0.29303358467756996,3,15,point_major
2015-11-01,11,0.9566285576045558,0.9130598893467776,0.7768535023436984,0.13080639759787382,0.17323184645140285,3,15,point_major
2015-12-01,12,0.7543329020518799,0.4641958125463014,0.44493102693234077,0.20229458723560495,0.3100066383127243,3,15,point_major
2015-01-01,1,0.8375875093574019,0.6998639868332444,0.6433658665259825,0.12294240282844385,0.17431868902991685,6,15,point_major
2015-02-01,2,0.8576921305590915,0.6896758149116331,0.6678046761845644,0.12622696144389722,0.20019204443452102,6,15,point_major
2015-03-01,3,0.8830605847699851,0.7494682116016181,0.8106687349189934,0.11711114432139023,0.2046921393151962,6,15,point_major
2015-04-01,4,0.9232962122088013,0.849642746124564,0.7479284057010275,0.11704481305572298,0.1642495394370742,6,15,point_major
2015-05-01,5,0.8648283561885439,0.745339388143264,0.7655032554168001,0.12777541829616096,0.20233359570487477,6,15,point_major
2015-06-01,6,0.8478166473489411,0.7185690374746136,0.548731642189586,0.12662236813976713,0.17932752171477484,6,15,point_major
2015-07-01,7,0.883204084453061,0.7683313397856516,0.5187724108837799,0.1428718499588551,0.215684038056176,6,15,point_major
2015-08-01,8,0.9298405476382539,0.8642532073797556,0.7415902140672783,0.12315293999983708,0.1785196934982091,6,15,point_major
2015-09-01,9,0.9215611154046535,0.8391602492370792,0.7109089495373611,0.1396901265862595,0.19804875991780488,6,15,point_major
2015-10-01,10,0.9427556346964832,0.8867476067949115,0.6654790182106096,0.1510183158874505,0.2183511317412464,6,15,point_major
2015-11-01,11,0.927604931667159,0.8405754702297986,0.6703845919424636,0.15823349757936117,0.22828688290053806,6,15,point_major
2015-12-01,12,0.9122645677750358,0.7862383650909683,0.661444421614958,0.15315946597363153,0.24374689983908054,6,15,point_major
2015-01-01,1,0.8851331184403568,0.7805178135811728,0.743141576107607,0.09841734970980404,0.1506418306314308,9,15,point_major
2015-02-01,2,0.9346617704302367,0.8642238790874673,0.6974714701275453,0.0901424366440101,0.13202677388132672,9,15,point_major
2015-03-01,3,0.94243562281793,0.8806125673643912,0.7695192635526764,0.09024524743893247,0.1377420907712428,9,15,point_major
2015-04-01,4,0.9340787705940414,0.8196814643690186,0.6021746440981953,0.09685372341536572,0.14394069246151048,9,15,point_major
2015-05-01,5,0.9454796721700564,0.8821037986599569,0.7998177676537586,0.1002723414104067,0.1427963041051033,9,15,point_major
2015-06-01,6,0.9490254196449331,0.8815793929907269,0.8604459124690338,0.10787543059988079,0.15867838179557714,9,15,point_major
2015-07-01,7,0.966192018141951,0.9320688409858087,0.8211640211640212,0.10072902476544149,0.13390569428123056,9,15,point_major
