split,n,r,r2,kappa,mae,rmse,scale,input_years,ordering
train,1419,0.9777859155350727,0.9560652896637781,0.7396391109303015,0.14437380000529057,0.19064295992274377,1,15,point_major
validation,304,0.8710666790316111,0.754166581092808,0.4157080870147646,0.3560580851497674,0.4784423844961614,1,15,point_major
test,305,0.8097193493365945,0.6092057806736108,0.27337969813554297,0.4645863548708878,0.5915365115587743,1,15,point_major
all,2028,0.9334748895264501,0.8695890192854827,0.6204690332767998,0.2242637664342492,0.335215463313824,1,15,point_major
train,1419,0.9837705933138894,0.9678044881351767,0.7857083479961983,0.11911434094937742,0.15647361876253987,3,15,point_major
validation,304,0.9312396760908429,0.865821077636389,0.6178475827084905,0.26019398264652666,0.34671368235480243,3,15,point_major
test,305,0.8747286220970535,0.73398367344563,0.40819791414018924,0.38246563697552954,0.4910962313709891,3,15,point_major
all,2028,0.9561244656059464,0.913512535369773,0.7026871604982798,0.1798689545410489,0.267250290315418,3,15,point_major
train,1419,0.9906148196683717,0.9813176233513332,0.8365988436131225,0.08702855690799775,0.11351943394531537,6,15,point_major
validation,304,0.9588386644745787,0.9158518391557886,0.701999738596262,0.17835589812325398,0.2360636964403418,6,15,point_major
test,305,0.9112246600152163,0.7870729671387203,0.48134107148428973,0.3071305478886668,0.3944581469006706,6,15,point_major
all,2028,0.9717797978798584,0.9429801397226245,0.7643849660399465,0.13382077533923145,0.2019188682904007,6,15,point_major
train,1419,0.9909668690294992,0.9820152915720278,0.8799167287252048,0.07074912774613891,0.09070447690959388,9,15,point_major
validation,304,0.9090200526481471,0.794566352787125,0.5799473206960577,0.1729076280640708,0.24268802801681258,9,15,point_major
test,305,0.8708461306290246,0.6604298214371448,0.41031284065900164,0.27368745742278483,0.3541145255393187,9,15,point_major
all,2028,0.9628958182430587,0.9232590932292197,0.7762826918217373,0.11658363201045269,0.18287843415969834,9,15,point_major
train,1419,0.9887912106318811,0.9777080561479198,0.8984654506225163,0.05582617022656081,0.07124790414307562,12,15,point_major
validation,304,0.8875390314803476,0.7738514283734118,0.7507788161993769,0.12950637105930535,0.20366198326626114,12,15,point_major
test,305,0.7122694487189054,0.4509538918762195,0.27653956319369855,0.29169593488752193,0.3989723981521129,12,15,point_major
all,2028,0.9293926321868146,0.8613096773142886,0.7780204260230148,0.10234444403067694,0.1836005486584335,12,15,point_major
train,1419,0.9913836855975221,0.9828415771330716,0.9340646210524569,0.03906865637523571,0.05111558981481891,18,15,point_major
validation,304,0.9187585375861956,0.8390032226069728,0.783195899264542,0.10386250736576315,0.1436896930460152,18,15,point_major
test,305,0.7495778408067387,0.4067043812505817,0.25176668741532715,0.24473875686444063,0.3737405941230136,18,15,point_major
all,2028,0.9209702061653467,0.8426790093499719,0.8109063906496492,0.07971299136060446,0.16102971344092312,18,15,point_major
train,1419,0.9965941681435627,0.9931998917256895,0.8620967322076254,0.018831234997421297,0.024267200254110503,24,15,point_major
validation,304,0.9807387069561356,0.9613520626721519,0.7462437395659431,0.04416887156622458,0.064744588707789,24,15,point_major
test,305,0.9596847325608501,0.8729318844094628,0.5438550189144014,0.07397206132525384,0.13346420862356811,24,15,point_major
all,2028,0.9818013778446376,0.9623827541262245,0.8019806050763926,0.030922257456447496,0.060986477959828686,24,15,point_major
train,1419,0.9989961016313023,0.9979931908004299,0.9818933506871339,0.004906144061107554,0.006406499468839302,48,15,point_major
validation,304,0.9932144536475398,0.9861338622816158,0.9112343966712899,0.013238547002486334,0.01714455561835857,48,15,point_major
test,305,0.9816940899601609,0.9470592157001723,0.948816915589864,0.027758502188736146,0.03401387605500022,48,15,point_major
all,2028,0.9944122126212351,0.9883916257189503,0.9710264119064775,0.009592051222402361,0.015709151947503434,48,15,point_major
