scale,split,n,unique_months,unique_points,point_min,point_max
1,train,1419,12,119,1,119
1,validation,304,12,26,119,144
1,test,305,12,26,144,169
3,train,1419,12,119,1,119
3,validation,304,12,26,119,144
3,test,305,12,26,144,169
6,train,1419,12,119,1,119
6,validation,304,12,26,119,144
6,test,305,12,26,144,169
9,train,1419,12,119,1,119
9,validation,304,12,26,119,144
9,test,305,12,26,144,169
12,train,1419,12,119,1,119
12,validation,304,12,26,119,144
12,test,305,12,26,144,169
18,train,1419,12,119,1,119
18,validation,304,12,26,119,144
18,test,305,12,26,144,169
24,train,1419,12,119,1,119
24,validation,304,12,26,119,144
24,test,305,12,26,144,169
48,train,1419,12,119,1,119
48,validation,304,12,26,119,144
48,test,305,12,26,144,169
