month_name,scale_name,reported_r,month,scale,point_major_all_r,point_major_test_r,abs_error_all,abs_error_test
January,SPI-1,0.326,1,1,0.4864067952381175,-0.17543544179145723,0.16040679523811746,0.5014354417914573
February,SPI-1,0.578,2,1,0.7163297099588013,0.38487085865973103,0.13832970995880134,0.19312914134026893
March,SPI-1,0.922,3,1,0.9139688560598356,0.3542890671344091,0.008031143940164465,0.5677109328655909
April,SPI-1,0.748,4,1,0.8899753732243026,0.8620127018045934,0.14197537322430265,0.11401270180459344
May,SPI-1,0.743,5,1,0.7422097380287539,0.5492204710082349,0.0007902619712460979,0.1937795289917651
June,SPI-1,0.759,6,1,0.7365102697266621,0.3716435027352346,0.022489730273337893,0.3873564972647654
July,SPI-1,0.555,7,1,0.43717776926387214,-0.09204787423649619,0.11782223073612791,0.6470478742364962
August,SPI-1,0.621,8,1,0.5346691224321523,-0.4723551183599035,0.08633087756784774,1.0933551183599035
September,SPI-1,0.457,9,1,0.693392689210106,0.6683116823513718,0.23639268921010598,0.21131168235137182
October,SPI-1,0.385,10,1,0.6706174412223335,0.40580507598023297,0.28561744122233346,0.020805075980232957
November,SPI-1,0.544,11,1,0.7806235742795806,-0.24212556159400966,0.23662357427958058,0.7861255615940097
December,SPI-1,0.761,12,1,0.6417225105382345,0.4512287003835891,0.11927748946176553,0.3097712996164109
January,SPI-3,0.938,1,3,0.9015476886133449,0.8005039602847157,0.036452311386655056,0.13749603971528424
February,SPI-3,0.62,2,3,0.8280258811156703,0.633432623706124,0.20802588111567033,0.01343262370612397
March,SPI-3,0.607,3,3,0.5513662388935664,0.5373992492224472,0.05563376110643359,0.06960075077755279
April,SPI-3,0.754,4,3,0.8353172921079248,0.6456992331472468,0.08131729210792482,0.10830076685275325
May,SPI-3,0.92,5,3,0.8843416484861799,0.7056293920571136,0.03565835151382013,0.21437060794288643
June,SPI-3,0.594,6,3,0.783575871926202,-0.14079858556701927,0.18957587192620207,0.7347985855670193
July,SPI-3,0.808,7,3,0.8290865812439223,0.815580231389199,0.021086581243922264,0.007580231389198944
August,SPI-3,0.729,8,3,0.7574689028174565,0.022246533008476208,0.02846890281745651,0.7067534669915237
September,SPI-3,0.64,9,3,0.9143405622724713,0.7264175506566555,0.2743405622724713,0.08641755065665546
October,SPI-3,0.783,10,3,0.881994669992918,0.9355403818142083,0.09899466999291795,0.15254038181420826
November,SPI-3,0.886,11,3,0.9566285576045558,0.7739682792057938,0.07062855760455578,0.1120317207942062
December,SPI-3,0.825,12,3,0.7543329020518799,0.2606134999887873,0.0706670979481201,0.5643865000112127
January,SPI-6,0.929,1,6,0.8375875093574019,0.5417223508488491,0.09141249064259815,0.3872776491511509
February,SPI-6,0.956,2,6,0.8576921305590915,0.3665678542431444,0.09830786944090841,0.5894321457568555
March,SPI-6,0.978,3,6,0.8830605847699851,0.698476495258485,0.09493941523001492,0.279523504741515
April,SPI-6,0.967,4,6,0.9232962122088013,0.7775682504427973,0.043703787791198656,0.18943174955720266
May,SPI-6,0.934,5,6,0.8648283561885439,0.3647440303374558,0.06917164381145613,0.5692559696625443
