target,scale,known_months,unknown_months,known_fraction
2015-01-01,1,0,1,0.0
2015-01-01,3,2,1,0.6666666666666666
2015-01-01,6,5,1,0.8333333333333334
2015-01-01,9,8,1,0.8888888888888888
2015-01-01,12,11,1,0.9166666666666666
2015-01-01,18,17,1,0.9444444444444444
2015-01-01,24,23,1,0.9583333333333334
2015-01-01,48,47,1,0.9791666666666666
2015-02-01,1,0,1,0.0
2015-02-01,3,1,2,0.3333333333333333
2015-02-01,6,4,2,0.6666666666666666
2015-02-01,9,7,2,0.7777777777777778
2015-02-01,12,10,2,0.8333333333333334
2015-02-01,18,16,2,0.8888888888888888
2015-02-01,24,22,2,0.9166666666666666
2015-02-01,48,46,2,0.9583333333333334
2015-03-01,1,0,1,0.0
2015-03-01,3,0,3,0.0
2015-03-01,6,3,3,0.5
2015-03-01,9,6,3,0.6666666666666666
2015-03-01,12,9,3,0.75
2015-03-01,18,15,3,0.8333333333333334
2015-03-01,24,21,3,0.875
2015-03-01,48,45,3,0.9375
2015-04-01,1,0,1,0.0
2015-04-01,3,0,3,0.0
2015-04-01,6,2,4,0.3333333333333333
2015-04-01,9,5,4,0.5555555555555556
2015-04-01,12,8,4,0.6666666666666666
2015-04-01,18,14,4,0.7777777777777778
2015-04-01,24,20,4,0.8333333333333334
2015-04-01,48,44,4,0.9166666666666666
2015-05-01,1,0,1,0.0
2015-05-01,3,0,3,0.0
2015-05-01,6,1,5,0.16666666666666666
2015-05-01,9,4,5,0.4444444444444444
2015-05-01,12,7,5,0.5833333333333334
2015-05-01,18,13,5,0.7222222222222222
2015-05-01,24,19,5,0.7916666666666666
2015-05-01,48,43,5,0.8958333333333334
2015-06-01,1,0,1,0.0
2015-06-01,3,0,3,0.0
2015-06-01,6,0,6,0.0
2015-06-01,9,3,6,0.3333333333333333
2015-06-01,12,6,6,0.5
2015-06-01,18,12,6,0.6666666666666666
2015-06-01,24,18,6,0.75
2015-06-01,48,42,6,0.875
2015-07-01,1,0,1,0.0
2015-07-01,3,0,3,0.0
2015-07-01,6,0,6,0.0
2015-07-01,9,2,7,0.2222222222222222
2015-07-01,12,5,7,0.4166666666666667
2015-07-01,18,11,7,0.6111111111111112
2015-07-01,24,17,7,0.7083333333333334
2015-07-01,48,41,7,0.8541666666666666
2015-08-01,1,0,1,0.0
2015-08-01,3,0,3,0.0
2015-08-01,6,0,6,0.0
2015-08-01,9,1,8,0.1111111111111111
2015-08-01,12,4,8,0.3333333333333333
2015-08-01,18,10,8,0.5555555555555556
2015-08-01,24,16,8,0.6666666666666666
2015-08-01,48,40,8,0.8333333333333334
2015-09-01,1,0,1,0.0
2015-09-01,3,0,3,0.0
2015-09-01,6,0,6,0.0
2015-09-01,9,0,9,0.0
2015-09-01,12,3,9,0.25
2015-09-01,18,9,9,0.5
2015-09-01,24,15,9,0.625
2015-09-01,48,39,9,0.8125
2015-10-01,1,0,1,0.0
2015-10-01,3,0,3,0.0
2015-10-01,6,0,6,0.0
2015-10-01,9,0,9,0.0
2015-10-01,12,2,10,0.16666666666666666
2015-10-01,18,8,10,0.4444444444444444
2015-10-01,24,14,10,0.5833333333333334
2015-10-01,48,38,10,0.7916666666666666
2015-11-01,1,0,1,0.0
2015-11-01,3,0,3,0.0
2015-11-01,6,0,6,0.0
2015-11-01,9,0,9,0.0
2015-11-01,12,1,11,0.08333333333333333
2015-11-01,18,7,11,0.3888888888888889
2015-11-01,24,13,11,0.5416666666666666
2015-11-01,48,37,11,0.7708333333333334
2015-12-01,1,0,1,0.0
2015-12-01,3,0,3,0.0
2015-12-01,6,0,6,0.0
2015-12-01,9,0,9,0.0
2015-12-01,12,0,12,0.0
2015-12-01,18,6,12,0.3333333333333333
2015-12-01,24,12,12,0.5
2015-12-01,48,36,12,0.75
