month,SPI-1,SPI-3,SPI-6,SPI-9,SPI-12,SPI-18,SPI-24,SPI-48
January,0.326,0.938,0.929,0.448,0.932,0.899,0.950,0.971
February,0.578,0.620,0.956,0.028,0.891,0.927,0.982,0.959
March,0.922,0.607,0.978,0.784,0.940,0.884,0.948,0.939
April,0.748,0.754,0.967,0.744,0.925,0.831,0.929,0.958
May,0.743,0.920,0.934,0.823,0.910,0.823,0.933,0.950
June,0.759,0.594,0.867,0.459,0.906,0.940,0.931,0.942
July,0.555,0.808,0.899,0.542,0.885,0.882,0.939,0.953
August,0.621,0.729,0.911,-0.014,0.895,0.888,0.926,0.924
September,0.457,0.640,0.868,0.527,0.928,0.957,0.939,0.950
October,0.385,0.783,0.891,0.734,0.919,0.921,0.936,0.956
November,0.544,0.886,0.904,0.822,0.911,0.946,0.904,0.948
December,0.761,0.825,0.901,0.581,0.915,0.914,0.982,0.889

