month,SPI-1,SPI-3,SPI-6,SPI-9,SPI-12,SPI-18,SPI-24,SPI-48
January,0.549,0.644,0.592,0.740,0.831,0.920,0.894,0.772
February,0.697,0.555,0.809,0.866,0.761,0.872,0.924,0.673
March,0.549,0.647,0.632,0.795,0.904,0.696,0.849,0.715
April,0.650,0.717,0.583,0.692,0.769,0.815,0.798,0.577
May,0.714,0.714,0.553,0.751,0.698,0.659,0.808,0.756
June,0.740,0.623,0.499,0.775,0.712,0.630,0.796,0.655
July,0.542,0.374,0.541,0.762,0.730,0.800,0.747,0.632
August,0.613,0.635,0.576,0.727,0.710,0.712,0.738,0.645
September,0.687,0.732,0.499,0.633,0.782,0.803,0.774,0.602
October,0.722,0.660,0.635,0.643,0.842,0.672,0.840,0.720
November,0.659,0.646,0.552,0.693,0.752,0.780,0.794,0.690
December,0.534,0.669,0.486,0.872,0.872,0.846,0.694,0.727

